,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000001.SZ,20181011,10.05,10.16,9.7,9.86,10.45,-0.5899999999999999,-5.6459,1995143.83,1994186.611
1,000001.SZ,20181010,10.54,10.66,10.38,10.45,10.56,-0.11000000000000121,-1.0417,995200.08,1045666.18
2,000001.SZ,20181009,10.46,10.7,10.39,10.56,10.45,0.11000000000000121,1.0526,1064084.26,1117946.55
3,000001.SZ,20181008,10.7,10.79,10.45,10.45,11.05,-0.6000000000000014,-5.4299,1686358.52,1793455.283
4,000001.SZ,20180928,10.78,11.27,10.78,11.05,10.74,0.3100000000000005,2.8864,2110242.67,2331358.288
5,000001.SZ,20180927,10.65,10.84,10.57,10.74,10.71,0.02999999999999936,0.2801,880363.33,942200.398
6,000001.SZ,20180926,10.61,10.92,10.52,10.71,10.55,0.16000000000000014,1.5166,1490513.43,1600626.208
7,000001.SZ,20180925,10.52,10.68,10.48,10.55,10.67,-0.11999999999999922,-1.1246,977014.7,1030715.785
8,000001.SZ,20180921,10.26,10.7,10.18,10.67,10.23,0.4399999999999995,4.3011,1624518.41,1707850.487
9,000001.SZ,20180920,10.27,10.36,10.19,10.23,10.24,-0.009999999999999787,-0.0977,620348.36,636742.814
10,000001.SZ,20180919,10.03,10.34,10.03,10.24,10.08,0.16000000000000014,1.5873,1231548.77,1257191.505
11,000001.SZ,20180918,9.73,10.12,9.7,10.08,9.69,0.39000000000000057,4.0248,1126807.42,1120867.543
12,000001.SZ,20180917,9.8,9.8,9.68,9.69,9.84,-0.15000000000000036,-1.5244,517082.33,502609.643
13,000001.SZ,20180914,9.98,9.98,9.81,9.84,9.96,-0.120000000000001,-1.2048,619750.19,611422.48
14,000001.SZ,20180913,10.09,10.1,9.84,9.96,9.88,0.08000000000000007,0.8097,999725.61,993389.97
15,000001.SZ,20180912,9.87,9.97,9.82,9.88,9.91,-0.02999999999999936,-0.3027,564829.16,558399.563
16,000001.SZ,20180911,9.9,10.03,9.81,9.91,9.88,0.02999999999999936,0.3036,712967.51,707337.57
17,000001.SZ,20180910,10.01,10.07,9.84,9.88,10.01,-0.129999999999999,-1.2987,636989.29,631174.169
18,000001.SZ,20180907,10.04,10.18,9.93,10.01,9.97,0.03999999999999915,0.4012,809035.34,815151.722
19,000001.SZ,20180906,10.05,10.14,9.95,9.97,10.05,-0.08000000000000007,-0.796,711777.55,713975.749
20,000001.SZ,20180905,10.3,10.33,10.05,10.05,10.43,-0.379999999999999,-3.6433,1179453.17,1202345.697
21,000001.SZ,20180904,10.2,10.55,10.07,10.43,10.19,0.2400000000000002,2.3553,1296342.08,1339756.563
22,000001.SZ,20180903,10.09,10.3,10.09,10.19,10.13,0.05999999999999872,0.5923,711695.67,725303.291
23,000001.SZ,20180831,10.13,10.32,10.1,10.13,10.12,0.010000000000001563,0.0988,1310865.24,1337898.869
24,000001.SZ,20180830,10.27,10.35,10.08,10.12,10.27,-0.15000000000000036,-1.4606,994917.73,1013877.514
25,000001.SZ,20180829,10.25,10.33,10.15,10.27,10.29,-0.019999999999999574,-0.1944,901883.49,923581.546
26,000001.SZ,20180828,10.34,10.43,10.24,10.29,10.43,-0.14000000000000057,-1.3423,1289777.24,1331917.86
27,000001.SZ,20180827,10.02,10.43,9.97,10.43,10.03,0.40000000000000036,3.988,2218424.22,2251527.721
28,000001.SZ,20180824,9.31,10.28,9.29,10.03,9.36,0.6699999999999999,7.1581,3040408.39,2995071.976
29,000001.SZ,20180823,9.3,9.42,9.23,9.36,9.29,0.07000000000000028,0.7535,729074.62,680941.392
