date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2019-09-26 15:00:00,3.01,3.03,3.02,3.01,7174.0,0.01,0.33,3.02,3.014,3.005,11554.8,9131.3,6990.02,0.04
2019-09-26 14:55:00,3.02,3.03,3.01,3.01,10222.0,-0.01,-0.33,3.02,3.013,3.003,12094.4,8728.0,7424.42,0.05
2019-09-26 14:50:00,3.02,3.03,3.02,3.02,10966.0,0.0,0.0,3.022,3.013,3.0015,11116.8,8803.9,7162.6,0.06
2019-09-26 14:45:00,3.03,3.03,3.02,3.02,11779.0,-0.01,-0.33,3.018,3.011,3.0,10459.8,8014.8,6860.3,0.06
2019-09-26 14:40:00,3.02,3.04,3.03,3.02,17633.0,0.01,0.33,3.014,3.008,2.9985,9392.0,7024.6,6574.75,0.09
2019-09-26 14:35:00,3.02,3.03,3.02,3.0,9872.0,0.0,0.0,3.008,3.003,2.996,6707.8,5490.3,5922.35,0.05
2019-09-26 14:30:00,3.0,3.02,3.02,3.0,5334.0,0.02,0.67,3.006,3.001,2.994,5361.6,4741.7,5629.45,0.03
2019-09-26 14:25:00,3.0,3.01,3.0,3.0,7681.0,0.0,0.0,3.004,2.999,2.9925,6491.0,4549.5,5396.2,0.04
2019-09-26 14:20:00,3.0,3.01,3.0,3.0,6440.0,0.0,0.0,3.004,2.998,2.9915,5569.8,4434.7,5128.55,0.03
2019-09-26 14:15:00,3.0,3.01,3.0,3.0,4212.0,0.0,0.0,3.002,2.997,2.991,4657.2,4563.5,4972.92,0.02
2019-09-26 14:10:00,3.01,3.01,3.01,3.0,3141.0,0.0,0.0,2.998,2.996,2.9905,4272.8,4848.75,4890.57,0.02
2019-09-26 14:05:00,3.0,3.01,3.01,2.99,10981.0,0.01,0.33,2.996,2.993,2.9895,4121.8,6120.85,4943.82,0.06
2019-09-26 14:00:00,2.99,3.0,3.0,2.98,3075.0,0.01,0.33,2.994,2.99,2.9885,2608.0,5521.3,4551.52,0.02
2019-09-26 13:55:00,2.99,2.99,2.99,2.98,1877.0,0.0,0.0,2.992,2.989,2.988,3299.6,5705.8,4561.82,0.01
2019-09-26 13:50:00,2.99,2.99,2.98,2.98,2290.0,-0.01,-0.33,2.992,2.989,2.9885,4469.8,6124.9,4658.52,0.01
2019-09-26 13:45:00,3.0,3.01,3.0,2.99,2386.0,0.0,0.0,2.994,2.989,2.9895,5424.7,6354.4,4781.57,0.01
2019-09-26 13:40:00,3.0,3.01,3.0,2.99,3412.0,0.0,0.0,2.99,2.987,2.99,8119.9,6517.2,4955.82,0.02
2019-09-26 13:35:00,2.99,3.0,2.99,2.99,6532.99,0.0,0.0,2.986,2.986,2.99,8434.6,6242.9,5054.58,0.03
2019-09-26 13:30:00,2.99,3.0,2.99,2.98,7728.0,0.0,0.0,2.986,2.985,2.9905,8112.0,5822.4,5106.2,0.04
2019-09-26 13:25:00,2.98,2.99,2.99,2.98,7064.5,0.01,0.34,2.986,2.985,2.9905,7780.0,5382.35,5092.9,0.04
2019-09-26 13:20:00,2.98,2.98,2.98,2.95,15862.0,0.0,0.0,2.984,2.985,2.991,7284.1,4932.4,4960.5,0.08
2019-09-26 13:15:00,2.99,2.99,2.98,2.97,4985.5,-0.01,-0.33,2.984,2.986,2.992,4914.5,3766.8,4443.95,0.03
2019-09-26 13:10:00,2.99,2.99,2.99,2.98,4920.0,0.0,0.0,2.986,2.987,2.993,4051.2,3581.75,4507.88,0.03
2019-09-26 13:05:00,2.98,2.99,2.99,2.97,6068.0,0.01,0.34,2.984,2.987,2.994,3532.8,3417.85,4859.38,0.03
2019-09-26 11:30:00,2.98,2.99,2.98,2.98,4585.0,0.0,0.0,2.984,2.988,2.995,2984.7,3192.15,4723.93,0.02
2019-09-26 11:25:00,2.99,3.0,2.98,2.98,4014.0,-0.01,-0.33,2.986,2.99,2.996,2580.7,3208.75,4743.13,0.02
2019-09-26 11:20:00,2.98,2.99,2.99,2.98,669.0,0.01,0.34,2.988,2.993,2.9975,2619.1,3394.45,4696.18,0.0
2019-09-26 11:15:00,2.99,2.99,2.98,2.98,2328.0,-0.01,-0.33,2.988,2.994,2.999,3112.3,3866.27,4817.03,0.01
2019-09-26 11:10:00,2.99,2.99,2.99,2.98,3327.5,0.0,0.0,2.99,2.996,3.0005,3302.9,4390.01,5255.53,0.02
2019-09-26 11:05:00,2.99,2.99,2.99,2.98,2565.0,0.0,0.0,2.992,2.996,3.002,3399.6,4803.46,5143.4,0.01
2019-09-26 11:00:00,2.99,3.0,2.99,2.99,4206.0,0.0,0.0,2.994,2.997,3.003,3836.8,4988.61,5281.95,0.02
2019-09-26 10:55:00,2.99,3.0,2.99,2.99,3135.0,0.0,0.0,2.998,2.998,3.004,4169.8,5121.11,5253.15,0.02
2019-09-26 10:50:00,3.0,3.0,2.99,2.99,3281.0,-0.01,-0.33,3.0,2.999,3.005,4620.23,5434.01,5265.15,0.02
2019-09-26 10:45:00,2.99,3.01,3.0,2.99,3811.0,0.01,0.33,3.002,3.001,3.0065,5477.11,6300.91,5352.0,0.02
2019-09-26 10:40:00,3.01,3.01,3.0,2.99,4751.0,-0.01,-0.33,3.0,3.002,3.007,6207.31,6255.71,5424.25,0.02
2019-09-26 10:35:00,3.0,3.01,3.01,2.99,5871.0,0.01,0.33,3.0,3.002,3.0075,6140.41,6277.51,5434.45,0.03
2019-09-26 10:30:00,3.0,3.01,3.0,2.99,5387.17,0.0,0.0,2.998,3.002,3.0075,6072.41,5997.91,5594.4,0.03
2019-09-26 10:25:00,2.99,3.01,3.0,2.99,7565.4,0.01,0.33,2.998,3.004,3.0085,6247.78,5767.79,5768.0,0.04
2019-09-26 10:20:00,2.99,3.0,2.99,2.99,7462.0,0.0,0.0,3.0,3.005,3.0095,7124.7,6121.05,6043.78,0.04
2019-09-26 10:15:00,3.0,3.01,3.0,2.99,4416.5,0.0,0.0,3.004,3.008,3.011,6304.1,5483.35,6032.02,0.02
