,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,002460.SZ,20250725,39.69,40.33,39.01,39.43,39.4,0.03,0.0761,769552.59,3047384.078
1,002460.SZ,20250724,36.04,39.98,36.02,39.4,36.48,2.92,8.0044,972291.51,3736610.43
2,002460.SZ,20250723,37.15,37.94,36.4,36.48,36.78,-0.3,-0.8157,583833.08,2162478.734
3,002460.SZ,20250722,36.17,37.04,35.87,36.78,36.18,0.6,1.6584,417305.1,1525369.136
4,002460.SZ,20250721,36.1,36.35,35.78,36.18,35.95,0.23,0.6398,287050.34,1036092.206
5,002460.SZ,20250718,35.13,36.3,35.13,35.95,34.96,0.99,2.8318,474086.03,1703487.864
6,002460.SZ,20250717,33.98,35.18,33.74,34.96,33.81,1.15,3.4014,347064.98,1198638.246
7,002460.SZ,20250716,34.4,34.46,33.8,33.96,34.48,-0.52,-1.5081,202377.02,688673.629
8,002460.SZ,20250715,34.82,35.3,34.01,34.48,35.39,-0.91,-2.5713,340741.52,1177088.962
9,002460.SZ,20250714,35.2,36.29,35.2,35.39,34.47,0.92,2.669,425607.56,1521925.738
10,002460.SZ,20250711,34.81,35.28,34.4,34.47,34.63,-0.16,-0.462,297106.32,1035570.771
11,002460.SZ,20250710,34.35,34.79,34.19,34.63,34.53,0.1,0.2896,172218.39,594562.532
12,002460.SZ,20250709,35.01,35.19,34.45,34.53,35.01,-0.48,-1.371,195285.43,679352.656
13,002460.SZ,20250708,34.26,35.38,34.26,35.01,34.24,0.77,2.2488,297747.09,1039300.989
14,002460.SZ,20250707,34.2,34.59,33.92,34.24,34.33,-0.09,-0.2622,165654.51,566269.773
15,002460.SZ,20250704,34.81,34.99,34.26,34.33,35.12,-0.79,-2.2494,288278.08,993009.15
16,002460.SZ,20250703,34.69,35.63,34.29,35.12,34.53,0.59,1.7087,480249.63,1678012.599
17,002460.SZ,20250702,33.55,34.85,33.23,34.53,33.56,0.97,2.8903,478830.54,1634996.442
18,002460.SZ,20250701,33.56,33.64,32.91,33.56,33.77,-0.21,-0.6219,245533.55,816046.171
19,002460.SZ,20250630,34.15,34.29,33.51,33.77,34.15,-0.38,-1.1127,274456.65,926111.413
20,002460.SZ,20250627,33.99,34.93,33.91,34.15,33.5,0.65,1.9403,445294.78,1530537.77
21,002460.SZ,20250626,32.97,34.96,32.86,33.5,32.97,0.53,1.6075,564030.01,1910741.001
22,002460.SZ,20250625,32.8,33.15,32.56,32.97,32.7,0.27,0.8257,338843.78,1114137.83
