,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,601606.SH,20250725,29.67,29.68,28.54,28.72,29.67,-0.95,-3.2019,610341.39,1761957.871
1,601606.SH,20250724,29.0,29.93,28.96,29.67,29.66,0.01,0.0337,803715.37,2362606.442
2,601606.SH,20250723,31.96,31.96,28.97,29.66,32.19,-2.53,-7.8596,1124276.12,3384191.46
3,601606.SH,20250722,29.0,32.19,28.88,32.19,29.26,2.93,10.0137,1513302.84,4768038.005
4,601606.SH,20250721,28.5,29.95,28.0,29.26,29.22,0.04,0.1369,794446.46,2312854.66
5,601606.SH,20250718,30.42,30.59,29.1,29.22,30.38,-1.16,-3.8183,1067678.06,3166358.935
6,601606.SH,20250717,28.8,30.46,28.8,30.38,29.18,1.2,4.1124,1095737.16,3258705.061
7,601606.SH,20250716,28.75,30.48,28.05,29.18,28.89,0.29,1.0038,1032064.72,3015677.496
8,601606.SH,20250715,28.0,29.29,27.51,28.89,28.74,0.15,0.5219,686401.01,1961056.95
9,601606.SH,20250714,28.13,29.49,27.4,28.74,28.13,0.61,2.1685,753619.44,2153962.502
10,601606.SH,20250711,26.24,28.95,26.24,28.13,26.66,1.47,5.5139,931972.73,2558336.756
11,601606.SH,20250710,27.48,27.65,26.3,26.66,28.43,-1.77,-6.2258,801732.73,2136455.48
12,601606.SH,20250709,28.82,30.4,28.2,28.43,28.77,-0.34,-1.1818,969718.08,2821264.936
13,601606.SH,20250708,28.28,28.99,27.88,28.77,28.69,0.08,0.2788,718876.9,2049456.107
14,601606.SH,20250707,28.15,28.78,27.33,28.69,28.28,0.41,1.4498,743022.98,2111132.969
15,601606.SH,20250704,29.64,29.77,28.2,28.28,30.5,-2.22,-7.2787,949945.26,2732838.38
16,601606.SH,20250703,29.6,31.63,28.45,30.5,29.6,0.9,3.0405,1244212.51,3728773.157
17,601606.SH,20250702,31.0,31.46,29.0,29.6,31.96,-2.36,-7.3842,1159558.61,3499679.084
18,601606.SH,20250701,30.38,31.96,28.1,31.96,29.05,2.91,10.0172,1535242.15,4693665.494
19,601606.SH,20250630,26.35,29.05,26.33,29.05,26.41,2.64,9.9962,902859.04,2563654.865
20,601606.SH,20250627,24.69,26.93,24.56,26.41,24.55,1.86,7.5764,1610562.86,4176129.101
21,601606.SH,20250626,23.77,24.55,23.5,24.55,22.32,2.23,9.991,545822.64,1319299.456
22,601606.SH,20250625,19.74,22.32,19.74,22.32,20.29,2.03,10.0049,1250777.77,2721773.063
23,601606.SH,20250624,19.28,21.71,18.18,20.29,20.2,0.09,0.4455,1652725.91,3311668.416
24,601606.SH,20250623,18.92,20.2,18.92,20.2,18.36,1.84,10.0218,668488.27,1317730.182
25,601606.SH,20250620,16.71,18.36,16.5,18.36,16.69,1.67,10.006,1123718.82,1995074.796
26,601606.SH,20250619,15.93,16.69,15.46,16.69,15.17,1.52,10.0198,1360865.74,2192469.754
27,601606.SH,20250618,13.6,15.17,13.6,15.17,13.79,1.38,10.0073,603159.86,894497.41
28,601606.SH,20250617,13.35,14.22,13.16,13.79,13.48,0.31,2.2997,454865.28,619368.985
29,601606.SH,20250616,13.49,13.66,13.08,13.48,13.39,0.09,0.6721,344015.15,460505.641
30,601606.SH,20250613,13.18,13.62,13.0,13.39,12.91,0.48,3.718,419624.2,557620.488
31,601606.SH,20250612,13.12,13.14,12.89,12.91,13.16,-0.25,-1.8997,132154.5,171585.047
32,601606.SH,20250611,13.2,13.22,13.05,13.16,13.19,-0.03,-0.2274,113853.0,149800.532
33,601606.SH,20250610,13.5,13.5,12.96,13.19,13.5,-0.31,-2.2963,233104.0,307535.564
34,601606.SH,20250609,13.42,13.66,13.42,13.5,13.4,0.1,0.7463,221254.99,299289.721
35,601606.SH,20250606,13.96,13.97,13.38,13.4,14.18,-0.78,-5.5007,397776.57,541797.009
36,601606.SH,20250605,13.68,14.48,13.46,14.18,13.48,0.7,5.1929,565270.88,792732.093
37,601606.SH,20250604,13.57,13.66,13.42,13.48,13.57,-0.09,-0.6632,145475.7,196669.693
38,601606.SH,20250603,13.42,13.67,13.35,13.57,13.43,0.14,1.0424,188226.7,255049.031
39,601606.SH,20250530,13.33,13.65,13.28,13.43,13.44,-0.01,-0.0744,174913.0,235207.502
40,601606.SH,20250529,13.34,13.59,13.25,13.44,13.36,0.08,0.5988,130339.7,175352.922
41,601606.SH,20250528,13.6,13.65,13.26,13.36,13.66,-0.3,-2.1962,147441.0,197276.954
42,601606.SH,20250527,13.75,13.78,13.49,13.66,13.79,-0.13,-0.9427,167696.0,227904.39
43,601606.SH,20250526,13.56,13.87,13.33,13.79,13.55,0.24,1.7712,237565.0,324144.574
44,601606.SH,20250523,13.88,13.97,13.51,13.55,13.98,-0.43,-3.0758,308870.16,423027.003
45,601606.SH,20250522,13.26,14.38,13.07,13.98,13.39,0.59,4.4063,612599.32,850686.256
46,601606.SH,20250521,13.34,14.01,13.22,13.39,13.43,-0.04,-0.2978,287532.0,387533.141
47,601606.SH,20250520,13.5,13.66,13.24,13.43,13.54,-0.11,-0.8124,218021.5,292327.423
48,601606.SH,20250519,13.5,13.6,13.18,13.54,13.35,0.19,1.4232,243981.49,326224.046
49,601606.SH,20250516,13.29,13.8,13.22,13.35,13.26,0.09,0.6787,421329.9,567781.843
50,601606.SH,20250515,13.94,13.96,13.25,13.26,14.03,-0.77,-5.4882,458282.14,617606.517
51,601606.SH,20250514,13.63,14.95,13.63,14.03,13.59,0.44,3.2377,719403.06,1024006.989
52,601606.SH,20250513,13.62,14.0,13.39,13.59,13.63,-0.04,-0.2935,619186.83,844764.112
53,601606.SH,20250512,12.84,13.63,12.83,13.63,13.11,0.52,3.9664,558899.98,746592.156
54,601606.SH,20250509,13.08,13.26,12.67,13.11,13.05,0.06,0.4598,382203.18,496738.46
55,601606.SH,20250508,12.8,13.05,12.61,13.05,12.95,0.1,0.7722,438899.0,562979.77
56,601606.SH,20250507,12.5,13.3,12.41,12.95,12.19,0.76,6.2346,565216.0,731724.751
57,601606.SH,20250506,11.98,12.2,11.98,12.19,12.04,0.15,1.2458,133425.0,161556.474
58,601606.SH,20250430,11.8,12.08,11.78,12.04,11.86,0.18,1.5177,131394.01,157292.633
59,601606.SH,20250429,11.46,12.1,11.41,11.86,11.56,0.3,2.5952,150061.51,177956.263
60,601606.SH,20250428,11.71,11.71,11.49,11.56,11.71,-0.15,-1.281,62895.0,72701.613
61,601606.SH,20250425,11.78,11.78,11.64,11.71,11.72,-0.01,-0.0853,61606.0,72171.325
62,601606.SH,20250424,11.91,11.93,11.63,11.72,11.91,-0.19,-1.5953,85877.0,100895.391
63,601606.SH,20250423,11.98,12.05,11.87,11.91,12.02,-0.11,-0.9151,93376.0,111321.263
64,601606.SH,20250422,12.03,12.08,11.96,12.02,12.07,-0.05,-0.4143,74640.0,89688.987
65,601606.SH,20250421,11.92,12.11,11.89,12.07,11.92,0.15,1.2584,72873.0,87776.525
66,601606.SH,20250418,12.0,12.02,11.85,11.92,12.07,-0.15,-1.2428,80743.0,96293.225
67,601606.SH,20250417,12.0,12.25,11.97,12.07,11.99,0.08,0.6672,115043.0,139674.377
68,601606.SH,20250416,12.14,12.28,11.84,11.99,12.15,-0.16,-1.3169,121538.0,146412.993
69,601606.SH,20250415,12.36,12.39,12.03,12.15,12.44,-0.29,-2.3312,136558.0,165938.058
70,601606.SH,20250414,12.28,12.45,12.22,12.44,12.33,0.11,0.8921,200465.0,247279.268
71,601606.SH,20250411,12.22,12.52,12.22,12.33,12.45,-0.12,-0.9639,254590.0,313883.37
72,601606.SH,20250410,12.45,12.78,12.31,12.45,12.2,0.25,2.0492,498698.37,626259.305
73,601606.SH,20250409,10.98,12.2,10.85,12.2,11.09,1.11,10.009,234646.06,278973.372
