,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600644.SH,20250605,16.3,16.61,15.3,15.36,16.26,-0.9,-5.5351,827776.04,1307698.879
1,600644.SH,20250604,15.16,16.39,14.79,16.26,15.31,0.95,6.2051,986880.59,1545629.057
2,600644.SH,20250603,13.96,15.5,13.96,15.31,14.78,0.53,3.5859,696891.79,1040559.939
3,600644.SH,20250530,15.17,15.95,14.65,14.78,15.47,-0.69,-4.4602,697969.17,1068999.717
4,600644.SH,20250529,15.59,16.62,15.3,15.47,16.18,-0.71,-4.3881,971755.79,1528000.843
5,600644.SH,20250528,16.78,18.0,15.81,16.18,16.78,-0.6,-3.5757,1371151.95,2300496.137
6,600644.SH,20250527,14.9,16.78,14.89,16.78,15.25,1.53,10.0328,1101190.1,1783501.866
7,600644.SH,20250526,14.51,15.76,13.81,15.25,14.58,0.67,4.5953,968654.58,1413995.464
8,600644.SH,20250523,15.72,15.88,14.58,14.58,16.2,-1.62,-10.0,1126715.62,1677719.549
9,600644.SH,20250522,15.45,16.85,15.1,16.2,15.32,0.88,5.7441,1475370.82,2376455.829
10,600644.SH,20250521,14.39,15.32,14.18,15.32,13.93,1.39,9.9785,1199777.65,1813071.592
11,600644.SH,20250520,12.31,13.93,12.31,13.93,12.66,1.27,10.0316,983945.18,1324061.005
12,600644.SH,20250519,12.59,13.1,12.03,12.66,12.61,0.05,0.3965,720475.8,913943.812
13,600644.SH,20250516,12.49,13.2,12.32,12.61,12.97,-0.36,-2.7756,927196.35,1189740.437
14,600644.SH,20250515,12.0,13.58,11.88,12.97,12.47,0.5,4.0096,1309982.49,1642946.265
15,600644.SH,20250514,11.3,12.47,11.0,12.47,11.34,1.13,9.9647,1205498.53,1436495.984
16,600644.SH,20250513,11.55,11.8,11.25,11.34,11.56,-0.22,-1.9031,580236.71,664619.48
17,600644.SH,20250512,10.96,11.68,10.91,11.56,11.12,0.44,3.9568,707349.41,802730.63
18,600644.SH,20250509,11.21,11.63,10.8,11.12,11.47,-0.35,-3.0514,721172.4,804273.695
19,600644.SH,20250508,11.44,12.08,11.2,11.47,11.42,0.05,0.4378,810717.05,940469.266
20,600644.SH,20250507,12.07,12.24,11.3,11.42,11.95,-0.53,-4.4351,927748.86,1076340.35
21,600644.SH,20250506,11.43,12.2,11.11,11.95,11.4,0.55,4.8246,908801.52,1080653.005
22,600644.SH,20250430,10.94,12.77,10.94,11.4,12.15,-0.75,-6.1728,994281.68,1162850.178
23,600644.SH,20250429,12.67,12.8,12.15,12.15,13.5,-1.35,-10.0,157643.5,194057.437
24,600644.SH,20250428,14.12,14.41,13.09,13.5,13.78,-0.28,-2.0319,1035292.0,1419436.419
25,600644.SH,20250425,12.86,14.15,12.36,13.78,12.86,0.92,7.154,1237955.7,1689758.864
26,600644.SH,20250424,11.68,12.86,11.2,12.86,11.69,1.17,10.0086,1236163.37,1516627.343
27,600644.SH,20250423,11.66,12.79,11.66,11.69,12.94,-1.25,-9.66,1159520.27,1405211.832
28,600644.SH,20250422,12.12,12.94,11.92,12.94,11.76,1.18,10.034,1428737.57,1800138.166
29,600644.SH,20250421,10.55,11.76,10.55,11.76,10.69,1.07,10.0094,707510.03,817078.707
30,600644.SH,20250418,9.75,11.17,9.29,10.69,10.27,0.42,4.0896,1272588.99,1298000.452
31,600644.SH,20250417,9.34,10.27,9.07,10.27,9.34,0.93,9.9572,1303317.1,1276455.804
32,600644.SH,20250416,9.34,9.34,9.34,9.34,8.49,0.85,10.0118,134011.39,125166.638
33,600644.SH,20250415,7.99,8.49,7.86,8.49,7.72,0.77,9.9741,506780.36,411392.532
34,600644.SH,20250414,6.95,7.72,6.95,7.72,7.02,0.7,9.9715,369551.79,278464.796
35,600644.SH,20250411,7.16,7.22,6.98,7.02,7.27,-0.25,-3.4388,313069.04,221963.488
36,600644.SH,20250410,7.13,7.41,7.12,7.27,7.28,-0.01,-0.1374,506439.24,368016.497
37,600644.SH,20250409,7.03,7.37,6.66,7.28,7.03,0.25,3.5562,599723.75,421408.304
38,600644.SH,20250408,6.34,7.03,6.34,7.03,6.39,0.64,10.0156,243585.69,167219.929
39,600644.SH,20250407,6.78,6.97,6.36,6.39,7.07,-0.68,-9.6181,330505.86,221341.324
40,600644.SH,20250403,6.78,7.08,6.75,7.07,6.86,0.21,3.0612,278558.02,194537.807
41,600644.SH,20250402,6.98,6.98,6.8,6.86,7.03,-0.17,-2.4182,180215.08,123717.444
42,600644.SH,20250401,6.69,7.06,6.69,7.03,6.64,0.39,5.8735,265186.01,183866.815
43,600644.SH,20250331,6.61,6.85,6.58,6.64,6.67,-0.03,-0.4498,151112.0,101344.472
44,600644.SH,20250328,6.73,6.79,6.63,6.67,6.74,-0.07,-1.0386,121815.0,81478.097
45,600644.SH,20250327,6.88,6.93,6.7,6.74,6.85,-0.11,-1.6058,160923.0,108629.746
46,600644.SH,20250326,6.96,7.01,6.77,6.85,7.06,-0.21,-2.9745,261452.0,179915.881
47,600644.SH,20250325,6.93,7.19,6.78,7.06,6.96,0.1,1.4368,341611.02,239797.031
48,600644.SH,20250324,6.97,7.09,6.81,6.96,6.97,-0.01,-0.1435,263491.31,183230.47
