date,open,high,low,close
2019-09-27 15:00:00,31.32,31.37,31.31,31.33
2019-09-27 14:55:00,31.3,31.38,31.28,31.37
2019-09-27 14:50:00,31.31,31.31,31.21,31.29
2019-09-27 14:45:00,31.37,31.38,31.28,31.31
2019-09-27 14:40:00,31.33,31.39,31.32,31.36
2019-09-27 14:35:00,31.4,31.43,31.33,31.33
2019-09-27 14:30:00,31.37,31.47,31.37,31.41
2019-09-27 14:25:00,31.44,31.47,31.36,31.41
2019-09-27 14:20:00,31.48,31.5,31.41,31.44
2019-09-27 14:15:00,31.43,31.57,31.42,31.5
2019-09-27 14:10:00,31.37,31.45,31.33,31.42
2019-09-27 14:05:00,31.46,31.46,31.36,31.37
2019-09-27 14:00:00,31.47,31.5,31.39,31.46
2019-09-27 13:55:00,31.33,31.6,31.31,31.46
2019-09-27 13:50:00,31.31,31.34,31.24,31.33
2019-09-27 13:45:00,31.28,31.33,31.26,31.31
2019-09-27 13:40:00,31.37,31.38,31.28,31.28
2019-09-27 13:35:00,31.36,31.39,31.32,31.37
2019-09-27 13:30:00,31.4,31.41,31.33,31.35
