date,open,high,low,close
2020-03-23,4.73,4.77,4.49,4.58
2020-03-20,5.14,5.15,4.86,4.99
2020-03-19,4.9,5.08,4.78,5.04
2020-03-18,5.1,5.22,4.9,4.9
2020-03-17,5.05,5.16,4.82,5.09
2020-03-16,5.42,5.42,4.91,4.92
2020-03-13,5.23,5.58,5.12,5.46
2020-03-12,5.6,5.67,5.39,5.5
2020-03-11,6.12,6.12,5.81,5.83
2020-03-10,5.92,6.17,5.67,6.17
2020-03-09,6.1,6.28,5.9,5.95
2020-03-06,6.09,6.44,6.05,6.37
2020-03-05,6.39,6.44,6.07,6.25
2020-03-04,6.35,6.38,5.96,6.2
2020-03-03,6.49,6.81,6.26,6.4
2020-03-02,6.04,6.47,6.04,6.36
2020-02-28,6.08,6.25,5.81,5.88
2020-02-27,6.65,6.75,6.35,6.44
2020-02-26,7.17,7.28,6.62,6.65
2020-02-25,6.95,7.37,6.8,7.36
2020-02-24,6.8,7.3,6.62,7.17
2020-02-21,6.89,7.02,6.61,6.67
2020-02-20,6.16,6.7,6.1,6.7
2020-02-19,6.08,6.28,6.04,6.09
2020-02-18,5.84,6.27,5.8,6.15
2020-02-17,5.61,5.83,5.52,5.79
2020-02-14,5.62,5.72,5.51,5.56
2020-02-13,5.51,5.75,5.36,5.68
2020-02-12,5.44,5.57,5.37,5.55
2020-02-11,5.59,5.62,5.4,5.5
2020-02-10,5.55,5.73,5.48,5.6
2020-02-07,5.55,5.79,5.49,5.69
2020-02-06,4.95,5.48,4.91,5.48
2020-02-05,4.88,5.09,4.84,4.98
2020-02-04,4.55,5.0,4.54,4.92
2020-02-03,4.55,4.66,4.55,4.55
2020-01-23,5.02,5.26,4.95,5.06
2020-01-22,5.05,5.2,4.93,5.13
2020-01-21,5.13,5.19,5.07,5.1
2020-01-20,4.9,5.23,4.86,5.2
2020-01-17,4.92,4.97,4.79,4.86
2020-01-16,4.86,5.0,4.83,4.91
2020-01-15,4.85,4.89,4.76,4.84
2020-01-14,4.75,5.0,4.74,4.87
2020-01-13,4.67,4.77,4.6,4.77
2020-01-10,4.78,4.8,4.6,4.67
2020-01-09,4.83,4.92,4.73,4.78
2020-01-08,4.81,4.94,4.68,4.72
2020-01-07,4.64,4.67,4.5,4.57
2020-01-06,4.55,4.71,4.52,4.61
2020-01-03,4.59,4.73,4.54,4.65
2020-01-02,4.51,4.61,4.45,4.57
2019-12-31,4.44,4.5,4.39,4.47
2019-12-30,4.49,4.49,4.33,4.46
2019-12-27,4.67,4.7,4.51,4.52
2019-12-26,4.56,4.8,4.52,4.69
2019-12-25,4.43,4.51,4.4,4.48
2019-12-24,4.37,4.48,4.28,4.47
2019-12-23,4.43,4.62,4.35,4.39
2019-12-20,4.42,4.49,4.34,4.35
2019-12-19,4.43,4.52,4.38,4.43
2019-12-18,4.44,4.48,4.36,4.44
2019-12-17,4.33,4.6,4.29,4.45
2019-12-16,4.02,4.33,4.02,4.33
2019-12-13,3.95,3.98,3.89,3.94
2019-12-12,3.94,3.99,3.89,3.91
2019-12-11,4.11,4.12,3.89,3.9
2019-12-10,4.06,4.13,4.03,4.13
2019-12-09,4.0,4.12,3.98,4.09
2019-12-06,3.95,4.01,3.91,3.96
2019-12-05,3.94,3.98,3.89,3.95
2019-12-04,3.82,3.97,3.8,3.94
2019-12-03,3.76,3.85,3.71,3.84
2019-12-02,3.9,3.91,3.76,3.78
2019-11-29,3.74,3.88,3.74,3.84
2019-11-28,3.75,3.78,3.72,3.74
2019-11-27,3.72,3.77,3.69,3.72
2019-11-26,3.6,3.81,3.6,3.74
2019-11-25,3.48,3.6,3.46,3.59
2019-11-22,3.48,3.54,3.46,3.48
2019-11-21,3.46,3.54,3.44,3.48
2019-11-20,3.5,3.51,3.45,3.48
2019-11-19,3.5,3.51,3.44,3.51
2019-11-18,3.52,3.56,3.48,3.52
2019-11-15,3.51,3.57,3.48,3.48
2019-11-14,3.42,3.57,3.39,3.54
2019-11-13,3.49,3.51,3.4,3.41
2019-11-12,3.5,3.57,3.48,3.51
2019-11-11,3.58,3.6,3.49,3.49
2019-11-08,3.62,3.67,3.54,3.6
2019-11-07,3.49,3.66,3.47,3.62
2019-11-06,3.44,3.56,3.44,3.49
2019-11-05,3.45,3.48,3.42,3.45
2019-11-04,3.4,3.46,3.37,3.45
2019-11-01,3.27,3.42,3.26,3.39
2019-10-31,3.32,3.34,3.29,3.29
2019-10-30,3.34,3.35,3.3,3.33
2019-10-29,3.43,3.43,3.35,3.35
2019-10-28,3.39,3.44,3.38,3.44
2019-10-25,3.36,3.39,3.34,3.38
2019-10-24,3.34,3.41,3.34,3.38
2019-10-23,3.35,3.39,3.32,3.36
2019-10-22,3.36,3.4,3.33,3.36
2019-10-21,3.4,3.4,3.32,3.35
2019-10-18,3.51,3.52,3.4,3.4
2019-10-17,3.5,3.53,3.48,3.5
2019-10-16,3.52,3.55,3.49,3.5
2019-10-15,3.57,3.57,3.48,3.5
2019-10-14,3.57,3.62,3.55,3.58
2019-10-11,3.53,3.56,3.48,3.53
2019-10-10,3.5,3.55,3.46,3.54
2019-10-09,3.5,3.51,3.45,3.5
2019-10-08,3.56,3.61,3.51,3.52
2019-09-30,3.55,3.61,3.5,3.56
2019-09-27,3.61,3.68,3.6,3.65
2019-09-26,3.65,3.68,3.6,3.61
2019-09-25,3.78,3.8,3.63,3.64
2019-09-24,3.82,3.89,3.78,3.82
2019-09-23,3.78,3.9,3.73,3.81
2019-09-20,3.8,3.84,3.75,3.78
2019-09-19,3.69,3.87,3.65,3.81
2019-09-18,3.72,3.72,3.61,3.66
2019-09-17,3.7,3.81,3.64,3.7
2019-09-16,3.72,3.76,3.66,3.69
2019-09-12,3.76,3.76,3.66,3.72
2019-09-11,3.62,3.94,3.59,3.76
2019-09-10,3.56,3.62,3.51,3.58
2019-09-09,3.45,3.58,3.42,3.55
2019-09-06,3.42,3.44,3.38,3.42
2019-09-05,3.32,3.43,3.32,3.41
2019-09-04,3.28,3.32,3.27,3.32
2019-09-03,3.27,3.3,3.26,3.28
2019-09-02,3.21,3.29,3.2,3.27
2019-08-30,3.27,3.28,3.19,3.22
2019-08-29,3.26,3.29,3.24,3.25
2019-08-28,3.32,3.33,3.25,3.27
2019-08-27,3.29,3.35,3.28,3.32
2019-08-26,3.26,3.29,3.24,3.27
2019-08-23,3.39,3.4,3.32,3.35
2019-08-22,3.41,3.45,3.38,3.4
2019-08-21,3.4,3.41,3.36,3.38
2019-08-20,3.5,3.5,3.41,3.42
2019-08-19,3.45,3.49,3.41,3.49
2019-08-16,3.41,3.45,3.39,3.41
2019-08-15,3.31,3.44,3.27,3.44
2019-08-14,3.3,3.48,3.28,3.38
2019-08-13,3.18,3.3,3.16,3.23
2019-08-12,3.12,3.2,3.12,3.2
2019-08-09,3.18,3.2,3.11,3.13
2019-08-08,3.14,3.17,3.13,3.17
2019-08-07,3.17,3.18,3.12,3.13
2019-08-06,3.17,3.18,3.03,3.14
2019-08-05,3.32,3.36,3.25,3.25
2019-08-02,3.33,3.37,3.31,3.34
2019-08-01,3.39,3.44,3.37,3.43
2019-07-31,3.47,3.47,3.4,3.4
2019-07-30,3.5,3.54,3.46,3.47
2019-07-29,3.47,3.53,3.45,3.51
2019-07-26,3.47,3.51,3.43,3.47
2019-07-25,3.4,3.54,3.39,3.49
2019-07-24,3.36,3.41,3.36,3.39
2019-07-23,3.33,3.38,3.31,3.34
2019-07-22,3.38,3.4,3.27,3.32
2019-07-19,3.38,3.43,3.37,3.37
2019-07-18,3.43,3.45,3.37,3.38
2019-07-17,3.4,3.59,3.38,3.47
2019-07-16,3.36,3.47,3.34,3.42
2019-07-15,3.35,3.38,3.29,3.37
2019-07-12,3.26,3.37,3.25,3.33
2019-07-11,3.28,3.32,3.25,3.26
2019-07-10,3.26,3.31,3.22,3.28
2019-07-09,3.24,3.27,3.22,3.25
2019-07-08,3.35,3.35,3.23,3.24
2019-07-05,3.34,3.37,3.33,3.36
2019-07-04,3.36,3.39,3.32,3.34
2019-07-03,3.45,3.45,3.37,3.39
2019-07-02,3.59,3.59,3.44,3.47
2019-07-01,3.43,3.6,3.38,3.6
2019-06-28,3.28,3.39,3.27,3.33
2019-06-27,3.27,3.31,3.26,3.29
2019-06-26,3.23,3.27,3.22,3.26
2019-06-25,3.28,3.28,3.19,3.25
2019-06-24,3.29,3.3,3.26,3.28
2019-06-21,3.32,3.32,3.27,3.29
2019-06-20,3.21,3.3,3.2,3.27
2019-06-19,3.27,3.3,3.21,3.22
2019-06-18,3.19,3.2,3.17,3.18
2019-06-17,3.2,3.2,3.16,3.19
2019-06-14,3.27,3.29,3.19,3.2
2019-06-13,3.26,3.3,3.25,3.27
2019-06-12,3.31,3.33,3.24,3.27
2019-06-11,3.2,3.37,3.17,3.33
2019-06-10,3.16,3.2,3.14,3.19
2019-06-06,3.2,3.2,3.11,3.13
2019-06-05,3.25,3.26,3.17,3.2
2019-06-04,3.28,3.29,3.21,3.22
2019-06-03,3.31,3.34,3.28,3.29
2019-05-31,3.33,3.36,3.29,3.31
2019-05-30,3.31,3.36,3.27,3.34
2019-05-29,3.33,3.34,3.31,3.32
2019-05-28,3.37,3.37,3.32,3.34
2019-05-27,3.27,3.4,3.26,3.39
2019-05-24,3.26,3.32,3.26,3.27
2019-05-23,3.35,3.36,3.26,3.28
2019-05-22,3.42,3.44,3.36,3.37
2019-05-21,3.41,3.45,3.37,3.42
2019-05-20,3.42,3.47,3.36,3.41
2019-05-17,3.53,3.54,3.39,3.41
2019-05-16,3.53,3.56,3.51,3.53
2019-05-15,3.52,3.56,3.51,3.54
2019-05-14,3.48,3.53,3.46,3.49
2019-05-13,3.51,3.57,3.47,3.52
2019-05-10,3.52,3.57,3.36,3.55
2019-05-09,3.46,3.54,3.45,3.48
2019-05-08,3.37,3.58,3.35,3.51
2019-05-07,3.42,3.48,3.39,3.43
2019-05-06,3.48,3.54,3.35,3.37
