date,open,high,low,close
2020-03-20 15:00:00,5.3,5.3,5.28,5.29
2020-03-20 14:55:00,5.29,5.31,5.28,5.29
2020-03-20 14:50:00,5.35,5.35,5.29,5.3
2020-03-20 14:45:00,5.4,5.46,5.3,5.35
2020-03-20 14:40:00,5.09,5.36,5.09,5.36
2020-03-20 14:35:00,5.06,5.16,5.06,5.09
2020-03-20 14:30:00,5.03,5.05,5.02,5.05
2020-03-20 14:25:00,5.04,5.05,5.02,5.03
2020-03-20 14:20:00,5.04,5.05,5.03,5.04
2020-03-20 14:15:00,5.04,5.04,5.02,5.04
2020-03-20 14:10:00,5.03,5.05,5.03,5.04
2020-03-20 14:05:00,5.01,5.03,5.01,5.03
2020-03-20 14:00:00,5.01,5.03,5.01,5.01
2020-03-20 13:55:00,5.0,5.02,5.0,5.01
2020-03-20 13:50:00,5.01,5.01,4.98,5.0
2020-03-20 13:45:00,5.03,5.03,5.0,5.01
2020-03-20 13:40:00,5.0,5.04,5.0,5.03
2020-03-20 13:35:00,4.98,5.0,4.98,5.0
2020-03-20 13:30:00,4.99,4.99,4.97,4.98
2020-03-20 13:25:00,4.97,5.0,4.97,4.99
2020-03-20 13:20:00,4.98,4.98,4.95,4.96
2020-03-20 13:15:00,4.99,4.99,4.98,4.98
2020-03-20 13:10:00,5.03,5.03,4.99,4.99
2020-03-20 13:05:00,5.0,5.03,5.0,5.03
2020-03-20 11:30:00,5.01,5.01,5.0,5.0
2020-03-20 11:25:00,5.0,5.01,5.0,5.01
2020-03-20 11:20:00,5.01,5.01,5.0,5.0
2020-03-20 11:15:00,5.02,5.03,5.0,5.01
2020-03-20 11:10:00,5.03,5.04,5.02,5.02
2020-03-20 11:05:00,5.04,5.06,5.04,5.04
2020-03-20 11:00:00,5.03,5.04,5.03,5.04
2020-03-20 10:55:00,5.03,5.03,5.02,5.03
2020-03-20 10:50:00,5.01,5.04,4.99,5.03
2020-03-20 10:45:00,5.02,5.03,5.01,5.01
2020-03-20 10:40:00,5.03,5.03,5.01,5.03
2020-03-20 10:35:00,5.0,5.04,5.0,5.03
2020-03-20 10:30:00,4.98,5.01,4.98,5.0
2020-03-20 10:25:00,4.99,4.99,4.97,4.98
2020-03-20 10:20:00,5.01,5.02,4.99,4.99
2020-03-20 10:15:00,4.98,5.01,4.97,5.01
2020-03-20 10:10:00,4.97,4.98,4.95,4.98
2020-03-20 10:05:00,5.0,5.0,4.97,4.97
2020-03-20 10:00:00,4.96,5.0,4.95,5.0
2020-03-20 09:55:00,4.95,4.98,4.95,4.96
2020-03-20 09:50:00,4.94,4.96,4.94,4.96
2020-03-20 09:45:00,4.96,4.96,4.93,4.95
2020-03-20 09:40:00,4.97,4.99,4.92,4.95
2020-03-20 09:35:00,4.98,5.05,4.97,4.97
2020-03-19 15:00:00,5.0,5.05,5.0,5.04
2020-03-19 14:55:00,5.0,5.0,4.98,5.0
2020-03-19 14:50:00,4.99,5.0,4.98,5.0
2020-03-19 14:45:00,4.97,4.99,4.97,4.99
2020-03-19 14:40:00,4.98,4.98,4.97,4.98
2020-03-19 14:35:00,4.99,5.0,4.99,4.99
2020-03-19 14:30:00,4.98,5.0,4.98,4.99
2020-03-19 14:25:00,5.01,5.02,4.98,4.98
2020-03-19 14:20:00,5.01,5.02,5.01,5.02
2020-03-19 14:15:00,5.01,5.02,5.01,5.01
2020-03-19 14:10:00,5.0,5.02,5.0,5.01
2020-03-19 14:05:00,5.0,5.01,4.99,5.0
2020-03-19 14:00:00,4.99,5.02,4.97,5.0
2020-03-19 13:55:00,4.97,4.99,4.96,4.99
2020-03-19 13:50:00,4.94,4.97,4.93,4.97
2020-03-19 13:45:00,4.94,4.96,4.93,4.94
2020-03-19 13:40:00,4.96,4.96,4.94,4.94
2020-03-19 13:35:00,4.94,4.96,4.93,4.96
2020-03-19 13:30:00,4.93,4.94,4.93,4.94
2020-03-19 13:25:00,4.92,4.93,4.91,4.93
2020-03-19 13:20:00,4.9,4.92,4.9,4.92
2020-03-19 13:15:00,4.91,4.92,4.9,4.9
2020-03-19 13:10:00,4.93,4.93,4.91,4.91
2020-03-19 13:05:00,4.93,4.94,4.91,4.93
2020-03-19 11:30:00,4.96,4.96,4.93,4.93
2020-03-19 11:25:00,4.96,4.97,4.95,4.96
2020-03-19 11:20:00,4.95,4.96,4.93,4.96
2020-03-19 11:15:00,4.94,4.95,4.92,4.93
2020-03-19 11:10:00,4.9,4.94,4.9,4.93
2020-03-19 11:05:00,4.91,4.91,4.89,4.9
2020-03-19 11:00:00,4.92,4.92,4.9,4.91
2020-03-19 10:55:00,4.94,4.95,4.92,4.92
2020-03-19 10:50:00,4.96,4.96,4.94,4.94
2020-03-19 10:45:00,4.94,4.97,4.92,4.96
2020-03-19 10:40:00,4.97,4.98,4.94,4.94
2020-03-19 10:35:00,4.95,4.97,4.94,4.97
2020-03-19 10:30:00,4.98,4.98,4.95,4.95
2020-03-19 10:25:00,5.03,5.03,4.96,4.98
2020-03-19 10:20:00,5.01,5.02,4.98,5.02
2020-03-19 10:15:00,4.96,5.01,4.94,5.01
2020-03-19 10:10:00,4.94,4.96,4.89,4.96
2020-03-19 10:05:00,4.94,4.95,4.92,4.94
2020-03-19 10:00:00,5.0,5.0,4.93,4.94
2020-03-19 09:55:00,4.9,5.07,4.89,5.0
2020-03-19 09:50:00,4.88,4.9,4.86,4.9
2020-03-19 09:45:00,4.88,4.92,4.86,4.88
2020-03-19 09:40:00,4.92,4.93,4.87,4.89
2020-03-19 09:35:00,4.86,4.95,4.84,4.91
2020-03-18 15:00:00,4.83,4.83,4.82,4.83
2020-03-18 14:55:00,4.84,4.85,4.82,4.83
2020-03-18 14:50:00,4.82,4.84,4.82,4.84
2020-03-18 14:45:00,4.84,4.85,4.82,4.82
2020-03-18 14:40:00,4.86,4.86,4.84,4.84
2020-03-18 14:35:00,4.85,4.86,4.84,4.86
2020-03-18 14:30:00,4.85,4.85,4.83,4.85
2020-03-18 14:25:00,4.86,4.86,4.84,4.85
2020-03-18 14:20:00,4.82,4.86,4.82,4.86
2020-03-18 14:15:00,4.86,4.86,4.82,4.82
2020-03-18 14:10:00,4.86,4.86,4.85,4.86
2020-03-18 14:05:00,4.85,4.87,4.85,4.86
2020-03-18 14:00:00,4.84,4.86,4.83,4.86
2020-03-18 13:55:00,4.85,4.87,4.84,4.84
2020-03-18 13:50:00,4.87,4.87,4.84,4.85
2020-03-18 13:45:00,4.88,4.88,4.85,4.86
2020-03-18 13:40:00,4.89,4.89,4.86,4.89
2020-03-18 13:35:00,4.86,4.89,4.86,4.89
2020-03-18 13:30:00,4.88,4.88,4.84,4.86
2020-03-18 13:25:00,4.89,4.91,4.89,4.89
2020-03-18 13:20:00,4.91,4.93,4.89,4.89
2020-03-18 13:15:00,4.91,4.92,4.91,4.91
2020-03-18 13:10:00,4.93,4.93,4.91,4.91
2020-03-18 13:05:00,4.95,4.96,4.92,4.94
2020-03-18 11:30:00,4.95,4.96,4.94,4.94
2020-03-18 11:25:00,4.92,4.95,4.92,4.95
2020-03-18 11:20:00,4.91,4.92,4.91,4.92
2020-03-18 11:15:00,4.91,4.92,4.91,4.92
2020-03-18 11:10:00,4.91,4.92,4.9,4.9
2020-03-18 11:05:00,4.92,4.92,4.9,4.91
2020-03-18 11:00:00,4.88,4.93,4.88,4.92
2020-03-18 10:55:00,4.86,4.89,4.86,4.88
2020-03-18 10:50:00,4.87,4.88,4.86,4.86
2020-03-18 10:45:00,4.88,4.89,4.87,4.87
2020-03-18 10:40:00,4.9,4.9,4.88,4.88
2020-03-18 10:35:00,4.89,4.92,4.88,4.9
2020-03-18 10:30:00,4.89,4.9,4.87,4.89
2020-03-18 10:25:00,4.89,4.91,4.88,4.89
2020-03-18 10:20:00,4.88,4.9,4.88,4.89
2020-03-18 10:15:00,4.89,4.9,4.86,4.88
2020-03-18 10:10:00,4.88,4.9,4.88,4.89
2020-03-18 10:05:00,4.85,4.93,4.85,4.88
2020-03-18 10:00:00,4.83,4.86,4.82,4.85
2020-03-18 09:55:00,4.83,4.84,4.82,4.83
2020-03-18 09:50:00,4.83,4.84,4.82,4.83
2020-03-18 09:45:00,4.82,4.83,4.8,4.83
2020-03-18 09:40:00,4.79,4.84,4.78,4.83
2020-03-18 09:35:00,4.78,4.8,4.77,4.78
2020-03-17 15:00:00,4.75,4.76,4.75,4.75
2020-03-17 14:55:00,4.76,4.76,4.74,4.75
2020-03-17 14:50:00,4.75,4.76,4.75,4.76
