date,open,high,low,close
2020-03-23,13.1,13.18,12.51,12.52
2020-03-20,15.68,15.74,13.0,13.57
2020-03-13,16.68,17.17,15.05,15.65
2020-03-06,17.3,18.15,16.42,16.99
2020-02-28,19.75,20.6,17.01,17.08
2020-02-21,18.44,19.68,18.22,19.6
2020-02-14,18.9,19.39,17.96,18.35
2020-02-07,18.0,19.9,17.1,19.3
2020-01-23,18.88,21.0,18.6,20.0
2020-01-17,18.02,19.11,17.77,18.99
2020-01-10,18.01,18.59,17.36,18.03
2020-01-03,17.35,18.64,17.07,18.22
2019-12-27,18.0,18.32,17.2,17.51
2019-12-20,18.82,19.42,17.78,18.15
2019-12-13,16.6,19.02,16.6,18.92
2019-12-06,16.65,17.27,16.63,16.8
2019-11-29,16.86,16.9,15.9,16.66
2019-11-22,16.09,17.08,15.6,16.82
2019-11-15,15.82,16.45,15.11,16.01
2019-11-08,15.46,16.1,14.92,16.0
2019-11-01,16.06,16.43,15.23,15.59
2019-10-25,15.19,16.61,14.87,15.88
2019-10-18,15.15,15.47,14.74,15.23
2019-10-11,14.53,15.04,13.91,14.82
2019-09-30,15.0,15.0,14.39,14.4
2019-09-27,14.33,15.86,14.01,15.07
2019-09-20,15.06,15.06,14.14,14.49
2019-09-12,15.52,15.96,14.84,15.31
2019-09-06,14.12,15.76,14.09,15.31
2019-08-30,14.48,14.68,13.77,14.21
2019-08-23,14.78,15.34,14.61,14.95
2019-08-16,12.29,15.0,12.22,14.36
2019-08-09,12.75,12.88,11.9,12.29
2019-08-02,13.3,13.75,12.67,12.89
2019-07-26,12.52,13.64,12.1,13.25
2019-07-19,12.65,12.9,12.08,12.46
2019-07-12,13.08,13.15,12.48,12.77
2019-07-05,12.45,13.69,12.36,13.15
2019-06-28,12.3,12.31,11.88,12.05
2019-06-21,11.82,12.44,11.6,12.32
2019-06-14,11.55,12.2,11.5,11.81
2019-06-06,13.6,13.65,12.75,12.83
2019-05-31,12.96,13.75,12.9,13.68
2019-05-24,13.16,13.75,12.78,12.9
2019-05-17,14.0,14.04,13.13,13.2
2019-05-10,15.2,15.2,13.18,14.22
2019-04-30,16.15,16.23,15.2,15.42
2019-04-26,17.72,17.73,16.01,16.01
2019-04-19,15.96,19.7,15.33,17.89
2019-04-12,15.91,16.34,15.35,15.71
2019-04-04,15.2,16.75,15.11,15.84
2019-03-29,14.78,14.94,14.1,14.75
2019-03-22,14.95,15.45,14.83,15.09
2019-03-15,15.83,16.59,14.52,14.86
2019-03-08,15.13,17.88,15.13,15.82
2019-03-01,14.45,15.69,14.3,15.08
2019-02-22,13.69,14.19,13.53,14.09
2019-02-15,11.87,14.3,11.86,13.55
2019-02-01,11.88,11.94,11.45,11.9
2019-01-25,12.02,12.12,11.7,11.8
2019-01-18,12.21,12.34,11.91,12.05
2019-01-11,11.76,12.35,11.61,12.17
2019-01-04,11.66,11.7,11.22,11.65
2018-12-28,11.75,11.97,11.49,11.59
2018-12-21,12.0,12.3,11.63,11.76
2018-12-14,11.81,12.39,11.71,12.06
2018-12-07,12.03,12.37,11.84,11.92
2018-11-30,11.81,11.91,11.32,11.53
2018-11-23,12.89,13.06,11.78,11.81
2018-11-16,12.33,12.96,12.31,12.86
2018-11-09,12.62,12.85,12.31,12.34
2018-11-02,12.13,12.74,11.75,12.61
2018-10-26,11.7,12.76,11.61,12.09
2018-10-19,12.0,12.3,11.11,11.61
2018-10-12,14.0,14.0,11.45,11.96
2018-09-28,14.35,14.79,14.19,14.24
2018-09-21,14.56,14.56,14.05,14.45
2018-09-14,14.8,14.94,14.54,14.6
2018-09-07,14.71,15.4,14.51,14.89
2018-08-31,15.0,15.48,14.67,14.79
2018-08-24,14.65,15.2,14.53,14.99
2018-08-17,15.19,15.83,14.62,14.63
2018-08-10,15.77,15.85,14.8,15.47
2018-08-03,17.2,17.41,15.8,15.81
2018-07-27,17.11,18.1,17.04,17.29
2018-07-20,17.62,18.19,16.73,17.31
2018-07-13,17.23,18.28,16.54,17.62
2018-07-06,18.2,18.35,16.71,17.23
2018-06-29,18.62,18.86,17.55,18.44
2018-06-22,21.83,21.84,17.53,18.72
2018-06-15,21.81,26.36,21.81,22.6
2018-06-08,16.52,19.83,16.52,19.83
